No,開催日,イベント名,会場
144,2025/12/06,MUD PARTY 2025 vol.1,白金高輪SELENE b2
145,2025/12/07,アイドル甲子園  in KANDA SQUARE HALL,KANDA SQUARE HALL
146,2025/12/09,MARQUEE祭 Vol.166,Spotify O-EAST
147,2025/12/11,STAiNY Pre!「STAY TUNE! 番外無銭！」,代官山UNIT
148,2025/12/13,ハルノカエリミチ島根公演,出雲APOLLO
149,2025/12/17,ありのままに咲く。,Veats Shibuya
150,2025/12/20,Christmas Idol Market,浦賀ドック野外特設会場
151,2025/12/21,12月フリーライブ,横浜ビブレ前 Niigo広場
152,2025/12/24,Appare! クリスマス 2025 DAY1,品川3会場連動
153,2025/12/25,ハルノカエリミチ東京公演,Veats SHIBUYA
154,2025/12/28,LEADING PREMIUM 年末感謝祭'25,duoMUSIC EXCHANGE
